Obs,experiment,year,treatment,plot,subplot_id,id,date,flowering_time
118,DN13,2013,dense,31,31120,RIL_192,06/08/2013,36
119,DN13,2013,dense,31,31121,A10,06/03/2013,31
120,DN13,2013,dense,31,31122,RIL_129,06/20/2013,48
121,DN13,2013,dense,31,31123,RIL_081,06/17/2013,44
122,DN13,2013,dense,31,31124,RIL_152,06/06/2013,34
123,DN13,2013,dense,31,31125,RIL_194,06/11/2013,38
124,DN13,2013,dense,31,31126,RIL_048,06/11/2013,38
125,DN13,2013,dense,31,31127,RIL_011,06/11/2013,38
126,DN13,2013,dense,31,31128,RIL_104,06/27/2013,55
127,DN13,2013,dense,31,31129,A10,06/03/2013,31
128,DN13,2013,dense,31,31130,RIL_034,06/08/2013,36
129,DN13,2013,dense,31,31131,RIL_001,06/09/2013,36
130,DN13,2013,dense,31,31132,RIL_053,06/11/2013,38
131,DN13,2013,dense,31,31133,B100,06/20/2013,48
132,DN13,2013,dense,31,31134,RIL_167,06/10/2013,38
133,DN13,2013,dense,31,31135,RIL_013,06/09/2013,36
134,DN13,2013,dense,31,31136,RIL_086,06/13/2013,41
135,DN13,2013,dense,31,31137,RIL_101,06/18/2013,46
136,DN13,2013,dense,31,31138,RIL_056,06/09/2013,37
137,DN13,2013,dense,31,31139,B100,06/03/2013,30
138,DN13,2013,dense,31,31140,RIL_057,06/18/2013,44
139,DN13,2013,dense,31,31141,RIL_121,06/08/2013,36
140,DN13,2013,dense,31,31142,RIL_118,06/27/2013,55
141,DN13,2013,dense,31,31143,RIL_113,06/05/2013,33
142,DN13,2013,dense,31,31144,B100,06/20/2013,48
143,DN13,2013,dense,31,31145,RIL_174,06/12/2013,41
144,DN13,2013,dense,31,31146,RIL_064,06/13/2013,41
145,DN13,2013,dense,31,31147,RIL_161,06/17/2013,44
146,DN13,2013,dense,31,31148,RIL_207,06/12/2013,40
147,DN13,2013,dense,31,31149,RIL_139,06/14/2013,42
148,DN13,2013,dense,31,31150,RIL_040,06/10/2013,38
149,DN13,2013,dense,31,31151,B100,06/25/2013,52
150,DN13,2013,dense,31,31152,RIL_041,06/07/2013,35
151,DN13,2013,dense,31,31153,RIL_120,06/07/2013,35
152,DN13,2013,dense,31,31154,RIL_217,06/07/2013,35
153,DN13,2013,dense,31,31155,RIL_162,06/04/2013,32
154,DN13,2013,dense,31,31156,RIL_072,06/13/2013,41
155,DN13,2013,dense,31,31157,RIL_181,06/28/2013,56
156,DN13,2013,dense,31,31158,RIL_014,06/11/2013,38
157,DN13,2013,dense,31,31159,RIL_112,06/07/2013,35
158,DN13,2013,dense,31,31160,RIL_154,06/11/2013,38
159,DN13,2013,dense,31,31161,RIL_222,06/12/2013,40
160,DN13,2013,dense,31,31162,A10,06/03/2013,31
161,DN13,2013,dense,31,31163,RIL_169,06/17/2013,45
162,DN13,2013,dense,31,31164,RIL_052,06/11/2013,38
163,DN13,2013,dense,31,31165,RIL_103,06/11/2013,39
164,DN13,2013,dense,31,31166,RIL_024,06/11/2013,38
165,DN13,2013,dense,31,31167,RIL_092,06/11/2013,39
166,DN13,2013,dense,31,31168,RIL_187,06/17/2013,44
167,DN13,2013,dense,31,31169,RIL_220,06/10/2013,38
168,DN13,2013,dense,31,31170,RIL_193,06/12/2013,40
169,DN13,2013,dense,31,31171,RIL_172,06/08/2013,36
170,DN13,2013,dense,31,31172,RIL_004,06/11/2013,39
171,DN13,2013,dense,31,31173,B100,06/20/2013,48
172,DN13,2013,dense,31,31174,RIL_195,06/20/2013,48
173,DN13,2013,dense,31,31175,RIL_008,06/12/2013,40
174,DN13,2013,dense,31,31176,RIL_043,06/15/2013,42
175,DN13,2013,dense,31,31177,RIL_049,06/07/2013,35
176,DN13,2013,dense,31,31178,RIL_205,06/07/2013,35
177,DN13,2013,dense,31,31179,A10,06/03/2013,31
178,DN13,2013,dense,31,31180,RIL_020,06/17/2013,44
179,DN13,2013,dense,31,31181,RIL_027,06/11/2013,38
180,DN13,2013,dense,31,31182,RIL_180,06/12/2013,40
181,DN13,2013,dense,31,31183,RIL_107,06/06/2013,34
182,DN13,2013,dense,31,31184,A10,06/03/2013,30
183,DN13,2013,dense,31,31185,RIL_026,06/06/2013,34
184,DN13,2013,dense,31,31187,RIL_210,06/18/2013,44
185,DN13,2013,dense,31,31188,RIL_077,06/13/2013,41
186,DN13,2013,dense,31,31189,RIL_039,05/31/2013,27
187,DN13,2013,dense,31,31190,RIL_141,06/07/2013,35
188,DN13,2013,dense,31,31191,A10,06/03/2013,31
189,DN13,2013,dense,31,31192,RIL_213,06/18/2013,46
190,DN13,2013,dense,31,31193,RIL_130,06/13/2013,41
191,DN13,2013,dense,31,31194,B100,06/25/2013,52
192,DN13,2013,dense,31,31195,RIL_025,06/06/2013,34
193,DN13,2013,dense,31,31196,RIL_197,06/19/2013,47
194,DN13,2013,dense,31,31197,RIL_035,06/25/2013,50
195,DN13,2013,dense,31,31198,RIL_144,06/12/2013,40
196,DN13,2013,dense,31,31199,RIL_096,06/10/2013,38
197,DN13,2013,dense,31,31200,B100,06/25/2013,52
198,DN13,2013,dense,31,31201,B100,06/25/2013,50
199,DN13,2013,dense,31,31202,RIL_114,06/13/2013,41
200,DN13,2013,dense,31,31203,RIL_106,06/15/2013,44
201,DN13,2013,dense,31,31204,RIL_007,06/09/2013,37
202,DN13,2013,dense,31,31205,RIL_006,06/19/2013,47
203,DN13,2013,dense,31,31207,RIL_085,06/06/2013,34
204,DN13,2013,dense,31,31208,RIL_005,06/06/2013,34
205,DN13,2013,dense,31,31209,RIL_221,06/10/2013,38
206,DN13,2013,dense,31,31210,RIL_124,06/06/2013,34
207,DN13,2013,sparse,32,32001,RIL_040,06/11/2013,39
208,DN13,2013,sparse,32,32002,RIL_061,06/30/2013,58
209,DN13,2013,sparse,32,32003,RIL_148,06/12/2013,40
210,DN13,2013,sparse,32,32004,RIL_059,06/16/2013,44
211,DN13,2013,sparse,32,32005,RIL_055,06/06/2013,34
212,DN13,2013,sparse,32,32006,RIL_190,06/11/2013,38
213,DN13,2013,sparse,32,32007,RIL_026,06/08/2013,36
214,DN13,2013,sparse,32,32008,RIL_013,06/09/2013,37
215,DN13,2013,sparse,32,32009,RIL_018,06/12/2013,40
216,DN13,2013,sparse,32,32010,RIL_136,06/09/2013,37
